Score;Fit;Regionsbonus;Ausschlussgrund;Firma;Ort;PLZ;Kanton;Region;Ausgeschriebene Stelle;Pensum;Anzahl Stellen;Mitarbeitende;Groesse belegt;Groessenhinweis;Software;Vermittler;Quelle;Inserat-URL;Website;Kontakt;Mail;Telefon;Beleglage;Notiz
83;75;8;;Balmer Buck Zenhäusern AG;Kriens;6010;LU;Luzern Stadt und Agglo;Sachbearbeiter/in Treuhand 80-100%;80-100%;1;15;nein;Partnergeführtes Büro (3 Namen im Firmennamen) - typisch KMU-Treuhand;;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/?location=luzern&term=sachbearbeiterin%20treuhand;;;;;indiziert;HOHE PRIORITAET Agglo Luzern (Kriens). Auch in der jobscout24-Trefferliste Nidwalden bestätigt - Doppelschaltung.
83;75;8;;Edcon Treuhand AG;Kriens;6010;LU;Luzern Stadt und Agglo;SachbearbeiterIn Treuhand mit eidg. Fachausweis 80-100%;80-100%;1;15;nein;KMU-Treuhandbüro;;nein;jobscout24.ch;https://www.jobscout24.ch/de/jobs-in-nidwalden/treuhand-sachbearbeiter/;;;;;indiziert;HOHE PRIORITAET Agglo Luzern (Kriens). Sucht explizit eidg. FA - qualifizierte Kraefte sind genau die, die am schwersten zu finden sind. Starkes Automatisierungs-Argument.
83;75;8;;Refina Treuhand AG;Horw;6048;LU;Luzern Stadt und Agglo;Sachbearbeiter/in Treuhand und Steuern 80-100%;80-100%;1;15;nein;KMU-Treuhandbüro;;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/?location=luzern&term=sachbearbeiterin%20treuhand;;;;;indiziert;HOHE PRIORITAET Agglo Luzern (Horw). Steuern + Treuhand kombiniert = hoher Anteil repetitiver Deklarationsarbeit.
83;75;8;;Schärli & Partner Immobilien-Treuhand AG;Luzern;6004;LU;Luzern Stadt und Agglo;Sachbearbeiter(in) Immobilienbewirtschaftung 100%;100%;1;15;nein;KMU Immobilien-Treuhand;;nein;jobwinner.ch;https://jobwinner.ch/de/job/2061599714;;;;;indiziert;Adresse aus Inserats-Titel: Zürichstrasse 43, 6004 Luzern - Prio 1, zu Fuss erreichbar. ABGRENZUNG: Immobilienbewirtschaftung, nicht klassische Finanzbuchhaltung - passt nur wenn Flusswerk auch Liegenschaftsabrechnung/Nebenkosten automatisiert. Sonst niedrigere Priorität.
83;75;8;;utag Treuhand AG;Kriens;6010;LU;Luzern Stadt und Agglo;Mandatsleiter/in Treuhand;;1;15;nein;KMU-Treuhandbüro;;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/?region=15&term=fachmann%20finanz-%20und%20rechnungswesen;;;;;indiziert;HOHE PRIORITAET Agglo Luzern (Kriens).
81;79;2;;Avanova Treuhand AG;Zürich;;ZH;Nachbarkantone;Sachbearbeiter:in Treuhand;80-100%;1;7;ja;7 Mitarbeitende;Abacus / Dr. Tax;nein;jobs.ch;https://www.jobs.ch/en/vacancies/detail/64d43f52-8225-4fe9-95c4-560db4cdf521/;https://avanova.ch;Kerstin & Jannik, +41 43 466 77 22;;+41 43 466 77 22;indiziert;BESTER INHALTLICHER FIT DER GANZEN LISTE, aber Prio 3 (Zürich, nur Mailing). Positioniert sich selbst als 'digitales Treuhand', 7 Mitarbeitende, direkt am Bahnhof Stadelhofen. Inserat nennt explizit: Lohnbuchhaltung inkl. Personaladministration, MWST- und Sozialversicherungsabrechnungen, Abacus und Dr. Tax von Vorteil, 'IT-Affinitaet' als Anforderung. Eine Firma, die IT-Affinitaet in ein SB-Inserat schreibt, ist für Automatisierung schon vorgewaermt. Oeffentliche Kontaktdaten im Inserat: Kerstin und Jannik, Telefon +41 43 466 77 22.
81;76;5;;Partner Treuhand AG;Sursee;6210;LU;übrige Zentralschweiz;Sachbearbeiter:in Treuhand 100%;100%;3;;;"4 Standorte (Luzern, Sursee, Hochdorf, Willisau); Sursee-Gesellschaft gegr. 2005";;nein;jobscout24.ch;https://www.partnertreuhand.ch/karriere/;https://www.partnertreuhand.ch/;041 926 70 20 / info@ptsursee.ch;info@ptsursee.ch;041 926 70 20;indiziert;"Weitere offene Stellen: Sachbearbeiter:in Treuhand; Treuhand Sachbearbeiter / Sachbearbeiterin Rechnungswesen (Stellenstatus nicht eindeutig belegt) | Auch gefunden auf: Firmen-Website (Suchtreffer), Firmen-Website partnertreuhand.ch, jobs.ch (Trefferliste Zentralschweiz) | ACHTUNG: Die gefundenen Treffer stammen aus der Team-Seite (Funktionsbezeichnungen bestehender Mitarbeitender), nicht zwingend aus einem Stelleninserat. Vor Ansprache unbedingt Karriereseite pruefen. Trotzdem als Firmenuniversum wertvoll: Mehrstandort-Treuhänder (Luzern seit 1968, Sursee seit 1972, Willisau) genau in Prioritätsregion 1/2."
80;75;5;;Bitzi Treuhand AG;Sursee;6210;LU;übrige Zentralschweiz;Sachbearbeiter Treuhand (m/w/d) 60-100%;60-100%;1;15;nein;KMU-Treuhand, Sursee;;nein;jobwinner.ch;https://jobwinner.ch/fr/job/1932991270;;;;;indiziert;Adresse aus Inserats-Titel: Schlottermilch 10a, 6210 Sursee - Prio 2 (Kanton Luzern, 25 Min. ab Luzern, Besuch gut machbar). Aufgabenliste laut Snippet extrem automatisierungsnah: Kundenbuchhaltungen inkl. MWST-Abrechnungen, Steuererklärungen, Jahresabschlüsse, Lohnbuchhaltung PLUS allgemeine Sekretariatsarbeiten - d.h. die Fachkraft macht auch Admin = klarer Effizienzhebel.
80;75;5;;Numarics AG;Baar;6340;ZG;übrige Zentralschweiz;Sachbearbeiter-/in Treuhand 80-100% (M/W/D);80-100%;1;;;Accounting Team, 'Team von Experten für alle Treuhand-Dienstleistungen';Abacus / bexio / Banana;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/detail/7902a875-d874-46b9-89ba-168d4fbe361d/;https://www.numarics.com;;;;indiziert;SOFTWARE explizit genannt: ABACUS, bexio und Banana. Volles Leistungsspektrum (Buchhaltung, Lohn, Revision, Steuern, MwSt). Achtung: Numarics ist selbst ein Digital-/AI-Treuhänder - eher Partner oder Wettbewerber als Kunde. Vor Ansprache Positionierung pruefen.
80;72;8;;OPES AG;Emmenbrücke;6020;LU;Luzern Stadt und Agglo;Treuhänder mit eidg. Fachausweis (M/W/D);60-80%;3;15;nein;Zentralschweizer Treuhandfirma;;nein;jobscout24.ch;https://www.jobscout24.ch/en/jobs-in-lucerne/treuhand/;https://opes.ch/;;;;indiziert;"Weitere offene Stellen: Treuhänder/in mit eidg. Fachausweis (m/w/d), per sofort oder nach Vereinbarung; SACHBEARBEITER TREUHAND & WIRTSCHAFTSPRUEFUNG (M/W/D) 60-100% | Auch gefunden auf: jobagent.ch / treuhand-job.ch / opes.ch Karriereseite, jobscout24.ch | PRIO 1. Huebelistrasse 18, 6020 Emmenbrücke. 'per sofort' = Dringlichkeit. Karriereseite: https://opes.ch/karriere/ . Wichtig: OPES betreibt mit 'OPES go' (opesgo.ch) bereits eine eigene digitale Dienstleistung - d.h. Digitalisierungs-Budget und -Bereitschaft nachweislich vorhanden. Bereiche: Finanz-/Rechnungswesen, HR Services, Steuern, Real Estate, Revision."
78;70;8;;Persigo AG;Luzern;6003;LU;Luzern Stadt und Agglo;Sachbearbeiter Treuhand 80-100% / Fachspezialist:in Payroll, Lohnadministration 70-80% (befristet, Abacus);70-100%;2;;;20 offene Inserate auf jobs.ch (Firmenprofil 100855) - Personaldienstleister;Abacus;ja;jobs.ch;https://www.jobs.ch/de/stellenangebote/detail/e1a9ff49-53af-4185-868f-db5571b118ab/;https://www.persigo.ch;Christoph Müller (Persigo AG, via jobs.ch Firmenprofil);;;indiziert;Weitere offene Stellen: (Senior) Sachbearbeiterin Treuhand 40-100% (m/w/d) | Auch gefunden auf: persigo.ch (Personalvermittler) | VERMITTLER, nicht Endkunde. ABER: Payroll-Stelle explizit 'mit Abacuserfahrung' und BEFRISTET - der dahinterliegende Endkunde hat einen akuten Lohnlauf-Engpass. Kontaktperson im Firmenprofil sichtbar: Christoph Müller (https://www.jobs.ch/de/firmen/100855-persigo-ag/kontakte/206012-christoph-mueller/). Persigo kann als Tueroeffner zu mehreren Treuhand-Endkunden dienen.
78;70;8;;Pro Senectute Kanton Luzern;Luzern;;LU;Luzern Stadt und Agglo;Sachbearbeiter/in Treuhand + Steuern;50%;2;;;NPO, kantonale Organisation;;nein;zentraljob.ch;https://www.zentraljob.ch/job/sachbearbeiter-in-treuhand-steuern-50/194276;https://lu.prosenectute.ch;;;;indiziert;Weitere offene Stellen: Sachbearbeiter/in Treuhand + Steuern 50% | Auch gefunden auf: zentraljob.ch / monster.ch | Kein klassisches Treuhandbüro, sondern NPO mit eigener Treuhand-/Steuerdienstleistung für Seniorinnen und Senioren (hohes Volumen einfacher, stark standardisierter Steuererklärungen). Genau dieses Massengeschäft ist der dankbarste Automatisierungsfall. Anderer Verkaufswinkel: Kostendruck / Spendenmittel statt Marge. Nur 50% Pensum ausgeschrieben -> Budget knapp, Automatisierung ist das billigere Argument.
78;70;8;;Stephanie Baumann Treuhand AG;Luzern;6003;LU;Luzern Stadt und Agglo;Treuhand-Sachbearbeiter*in;50-100%;2;6;nein;'Kleine Treuhand-Boutique' nahe Bahnhof Luzern, wachsendes Team;;nein;jobwinner.ch;https://jobwinner.ch/de/job/1594592637;;;;;indiziert;Weitere offene Stellen: Sachbearbeiter/in Treuhand 50-100% | Auch gefunden auf: jobscout24.ch | Adresse aus Inserats-Titel: Morgartenstrasse 9, 6003 Luzern - Prio 1, direkt beim Bahnhof, zu Fuss erreichbar. Kleine Boutique die WAECHST und 'erfahrene' Leute sucht = klassischer Automatisierungs-Case (kein Budget für zweiten Kopf). Auch auf jobs.ch gelistet.
77;72;5;;Truvag AG (Truvag Treuhand);Sursee;6210;LU;übrige Zentralschweiz;Sachbearbeiter Treuhand 80-100%;80-100%;1;;;Grössere regionale Treuhandgruppe Luzerner Landschaft (Sursee, Reiden, Willisau);Abacus;nein;jobs.ch;https://www.jobs.ch/de/stellenangebote/?region=15&term=sachbearbeiter+treuhand;https://www.truvag.ch;;;;indiziert;Auch gefunden auf: Firmenwebsite / Abacus-Ökosystem | KEIN Stellensignal gefunden. Erfasst, weil Abacus-Anwender/Partner im Kanton Luzern = passt ins Software-Muster. Für die Karriereseiten-Überwachung auf die Watchlist setzen.
75;70;5;;accoswiss ag;Cham;6330;ZG;übrige Zentralschweiz;Dipl. Treuhandexpert/in 80-100% UND Treuhänder/in mit eidg. Fachausweis 70-100%;70-100%;2;;;Hauptsitz Cham, weitere Büro Zürich und Pfaeffikon, KLEINER STANDORT LUZERN;;nein;jobs.ch;https://www.jobs.ch/de/firmen/3dbb8bca-9dfb-4ed8-b6c6-045de3896793-accoswiss-ag/;https://www.accoswiss.ch;;;;indiziert;Weitere offene Stellen: Treuhand-Stellen im Raum Cham/Zug (Titel nicht einzeln belegt) | Auch gefunden auf: JobScout24 | Hammergut 6, 6330 Cham. Selbstbeschreibung: 'spezialisiert auf digitale Treuhandlösungen', Leistungen Rechnungswesen, HR, Steuern, Unternehmensberatung. Zwei offene Stellen, beide auf Kaderstufe (Fachausweis/Experte) - klassisches Zeichen, dass Mandatsvolumen die Kapazität übersteigt. Der kleine Standort Luzern ist ein guter Vorwand für einen persönlichen Besuch.
75;70;5;;Brafox Finance GmbH;Zug;6300;ZG;übrige Zentralschweiz;Sachbearbeiter/in Treuhand;50-100%;2;;;GmbH, vermutlich klein;;nein;jobscout24.ch;https://www.jobscout24.ch/en/jobs-in-zug/sachbearbeiter%20treuhand/;;;;;indiziert;Weitere offene Stellen: Sachbearbeiter/In Treuhand (m/w/d) 50-100% | Auch gefunden auf: treuhand-job.ch / jobscout24.ch | GmbH-Rechtsform und Pensumsfenster 50-100% deuten auf kleines, inhabergeführtes Büro - unsere Kernzielgruppe (kurze Entscheidungswege, Inhaber entscheidet selbst, spuerbarer Schmerz). Zug ist Prio 2, ca. 30 Min ab Luzern.
75;70;5;;FINQUEST Finanz AG;Geuensee;6232;LU;übrige Zentralschweiz;Mandatsleiter Treuhand;80-100%;2;;;;;nein;treuhand-job.ch;https://treuhand-job.ch/region-luzern;;;;;indiziert;Weitere offene Stellen: Mandatsleiter Treuhand 80-100% | Schaeracher 5, 6232 Geuensee (Kanton LU, Nahe Sursee). Schwestergesellschaft FINQUEST Treuhand AG, St. Wendelin 3, 6343 Rotkreuz (ZG) mit Zweigniederlassung Geuensee - ein zweites Mandatsleiter-Inserat wurde für Rotkreuz gesichtet. Tätigkeit: Versicherungs-, Finanz- und Treuhandberatung.
75;70;5;;Fuhrer Treuhand AG;Stans;6370;NW;übrige Zentralschweiz;Treuhänder:in / Mandatsleiter:in Treuhand;60-100%;3;6;nein;;;nein;jobscout24.ch;https://www.jobscout24.ch/en/jobs-in-nidwalden/treuhand/;;;;;indiziert;"Weitere offene Stellen: Sachbearbeiter/in Treuhand 40-100%; Jobs-Seite vorhanden - offene Stelle nicht belegt | Auch gefunden auf: Firmen-Website (Suchtreffer), jobs.ch | Stans, ca. 20 Min ab Luzern. Sehr breites Pensumsfenster 60-100% und Doppeltitel Treuhänder/Mandatsleiter = die Rolle ist noch nicht scharf definiert, sie suchen einfach Kapazität. Gutes Zeichen für unser Angebot."
75;70;5;;Kaiser Odermatt & Partner;Zug;;ZG;übrige Zentralschweiz;Sachbearbeiter*in Treuhand & Rechnungswesen 60-100%;60-100%;2;;;Fuehrende Kanzlei mit über 20 Berufstraegern, Standorte Zug, Luzern, Zürich;;nein;adzuna.ch;https://www.adzuna.ch/details/5637921004;;;;;indiziert;Weitere offene Stellen: Sachbearbeiter*in Treuhand & Rechnungswesen | Auch gefunden auf: Adzuna (Detailseite) | PRIO 2 (mit Luzern-Standort auch für Prio 1 relevant). Aufgaben laut Snippet: Kundenbetreuung in Buchhaltung, MWST, Jahresabschlüsse und Steuererklärungen. Anwaltskanzlei mit angehaengter Treuhandabteilung - dort ist Buchhaltung meist NICHT das Kerngeschäft und entsprechend wenig automatisiert. Sehr guter Pitch: 'Ihr Treuhand-Backoffice soll die Juristen nicht bremsen'.
75;70;5;;Treuhand- und Revisionsgesellschaft Mattig-Suter und Partner;Schwyz;6430;SZ;übrige Zentralschweiz;Mandatsleiter/-in Steuern 80-100%;80-100%;4;;;Etablierte Treuhand- und Revisionsgesellschaft mit mehreren Standorten in SZ/UR/GR;;nein;jobscout24.ch;https://www.jobscout24.ch/de/jobs-in-nidwalden/treuhand-sachbearbeiter/;https://www.mattig.ch;;;;indiziert;"Weitere offene Stellen: Assistent/-in Wirtschaftspruefung 80-100%; mehrere Treuhand-Stellen an mehreren Standorten (Titel nicht einzeln belegt); Hinweis auf Stellen - nicht sauber belegt | Auch gefunden auf: JobScout24, JobScout24 (Suchtreffer-Snippet, mehrdeutig), zentralschweiz-jobs.ch | Grosses Zentralschweizer Treuhaus mit Standorten Schwyz, Pfaeffikon SZ, Zug und weiteren. Snippet nennt 'Oeffnungen über mehrere Standorte', aber keine konkreten Stellentitel - daher nur unsicher. Lohnt gezielte Nachrecherche auf der eigenen Karriereseite, weil Mehrstandort-Haeuser unsere besten Deals sind (ein Prozess, viele Standorte)."
74;66;8;;Bugs Steuer- und Unternehmensberatung AG;Luzern;6003;LU;Luzern Stadt und Agglo;Treuhand-/Rechnungswesen-Stelle (Inserat im jooble-Kontext genannt, Titel nicht sauber belegt);;1;6;nein;"Kleines Büro, gegründet 2016, UID CHE-134.277.965; Zusatzstandorte Hergiswil NW (Grossmatte 6) und Sarnen (Marktstrasse 7a)";;nein;jooble.ch;https://www.treuhandsuisse.ch/directory/bugs-steuer-und-unternehmensberatung-ag;https://bugssteuern.ch;"Zentralstrasse 44, 6003 Luzern; Entscheider laut Registerdaten: Thomas Bugs (VR), Markus Hofstetter, Patricia Banz";;;unsicher;"PRIO 1, aber OFFENE STELLE NICHT BESTAETIGT. Die Firma wurde in einer jooble-Ergebniszusammenfassung als 'etabliertes Treuhand- und Steuerberatungsunternehmen im Herzen von Luzern' im Umfeld von Sachbearbeiter-Treuhand-Inseraten genannt; ich konnte das konkrete Inserat NICHT isolieren. Firmen- und Adressdaten dagegen sind über mehrere unabhängige Register belegt. Vor Ansprache kurz auf bugssteuern.ch/Jobs pruefen. Kleines Büro mit drei Standorten (LU/NW/OW) - Mehrstandort-Koordination ist ein guter Automatisierungs-Aufhaenger."
74;69;5;;ROCKEN AG;Zug;6300;ZG;übrige Zentralschweiz;"Sachbearbeiter Treuhand in Zug (m/w/d) - mehrere parallele Inserate; Sachbearbeiter/in Treuhand Luzern";80-100%;6;;;6067 offene Stellen gesamt;Abacus / Sage / bexio;ja;rocken.jobs;https://rocken.jobs/jobs/finanzen/sachbearbeiterin-treuhand-mwd-256776/;https://rocken.jobs;;;;indiziert;"Weitere offene Stellen: Sachbearbeiter Treuhand (m/w/d) 80-100% / Mandatsleiter*in Treuhand (m/w/d); Sachbearbeiter Treuhand in Luzern (m/w/d); zusätzlich Sachbearbeiter*in Treuhand Luzern 60-100% - Endkunde nicht genannt; Sachbearbeiter Treuhand in Zug (m/w/d) - Endkunde nicht genannt; Mandatsleiter Treuhand (m/w/d); Sachbearbeiter:in Treuhand (80% Pensum) (m/w/d) | Auch gefunden auf: LinkedIn Jobs, jobup.ch, rocken.jobs | BESTE VERMITTLER-QUELLE FÜR DAS SOFTWARE-MUSTER: Inserate nennen den Stack explizit ('Sage, Bexio oder Abacus') sowie die Tätigkeiten (Lohnbuchhaltung, Steuererklärungen, Belegverarbeitung) - das ist unsere Automatisierungs-Landkarte in Klartext. Luzern-Inserat beschreibt den Endkunden als 'modernes, wachstumsorientiertes Treuhandunternehmen, junges Team' = identifizierbar. Endkunde nicht namentlich genannt."
